88 :4640
114 :2424
90 :8416
94 :8216
97 :7768
11 :3268
12 :2684
13 :2320
120 :4064
1 :4488
122 :2404
2 :3928
5 :3796
6 :3292
128 :3160
9 :2460
23 :3376
24 :5040
29 :2160
31 :3808
36 :8200
38 :6824
41 :5880
42 :2536
55 :3552
56 :4864
57 :3800
63 :2480
66 :2384
67 :5316
70 :2304
71 :5076
79 :4744
100 :3056
104 :3968
31 71 94 :2820
31 79 94 :2344
104 31 94 :2240
36 38 94 :6608
36 41 94 :5664
36 42 94 :2528
36 55 94 :3328
36 56 94 :4864
36 57 94 :3800
36 63 94 :2288
36 66 94 :2360
36 67 94 :5124
36 70 94 :2304
36 71 94 :4884
36 79 94 :4744
100 36 94 :3048
104 36 94 :3776
38 41 94 :4376
38 42 94 :2256
38 55 94 :2888
38 56 94 :3744
38 57 94 :3528
38 66 94 :2240
38 67 94 :4232
38 70 94 :2160
38 71 94 :3992
38 79 94 :3160
104 38 94 :3288
41 55 94 :2648
41 56 94 :3040
41 57 94 :3432
41 67 94 :3528
41 71 94 :3336
41 79 94 :3080
104 41 94 :3128
56 57 94 :2112
56 67 94 :3344
56 71 94 :3344
56 79 94 :2848
100 56 94 :2752
104 56 94 :2112
57 67 94 :2308
57 71 94 :2308
104 57 94 :2432
67 71 94 :4034
67 79 94 :3444
104 67 94 :3472
71 79 94 :3204
104 71 94 :3280
104 79 94 :2608
11 36 97 :3064
11 38 97 :3016
12 36 97 :2192
120 2 97 :2776
120 24 97 :2744
120 36 97 :3880
120 38 97 :3760
120 42 97 :2224
120 56 97 :2832
120 67 97 :2324
120 71 97 :2300
1 23 97 :2528
1 31 97 :3160
1 36 97 :3768
1 38 97 :2768
1 41 97 :3648
1 56 97 :2848
1 67 97 :3412
1 71 97 :3172
1 79 97 :2616
1 104 97 :2816
2 24 97 :3256
2 29 97 :2160
2 36 97 :3808
2 38 97 :3696
2 42 97 :2224
2 66 97 :2192
2 70 97 :2160
36 5 97 :3552
38 5 97 :2920
41 5 97 :2568
5 56 97 :2144
5 67 97 :2316
5 71 97 :2196
36 6 97 :3108
38 6 97 :2568
41 6 97 :2312
56 6 97 :2144
128 36 97 :3104
128 38 97 :2912
128 41 97 :2160
128 56 97 :2400
128 57 97 :2448
128 67 97 :2352
128 71 97 :2304
36 9 97 :2316
23 36 97 :3080
23 38 97 :2976
23 41 97 :2720
23 56 97 :2112
23 57 97 :2120
23 67 97 :2936
23 71 97 :2744
104 23 97 :3080
24 36 97 :4496
24 38 97 :3488
24 41 97 :2512
24 42 97 :2176
24 56 97 :2752
24 66 97 :2192
24 70 97 :2160
24 79 97 :2328
100 24 97 :2864
29 36 97 :2160
29 38 97 :2160
31 36 97 :3016
31 41 97 :2944
31 56 97 :2752
31 67 97 :2620
31 71 97 :2572
36 38 97 :6272
36 41 97 :5040
36 42 97 :2536
36 55 97 :2712
36 56 97 :4864
36 57 97 :3680
36 66 97 :2192
36 67 97 :4684
36 70 97 :2160
36 71 97 :4444
36 79 97 :4256
100 36 97 :2864
104 36 97 :3368
38 41 97 :4208
38 42 97 :2256
38 55 97 :2720
38 56 97 :3744
38 57 97 :3408
38 66 97 :2192
38 67 97 :4128
38 70 97 :2160
38 71 97 :3888
38 79 97 :2960
104 38 97 :3360
41 55 97 :2192
41 56 97 :3040
41 57 97 :3312
41 67 97 :3280
41 71 97 :3088
41 79 97 :2592
104 41 97 :2912
56 57 97 :2112
56 67 97 :3344
56 71 97 :3344
56 79 97 :2848
100 56 97 :2752
104 56 97 :2112
57 67 97 :2204
57 71 97 :2204
104 57 97 :2312
67 71 97 :3858
67 79 97 :3100
104 67 97 :3416
71 79 97 :2860
104 71 97 :3224
104 79 97 :2216
11 36 38 :3196
11 36 41 :2140
11 38 41 :2164
120 2 24 :2504
120 2 36 :2848
120 2 38 :2800
120 24 36 :2648
120 24 38 :2624
120 36 38 :3752
120 36 42 :2224
120 36 56 :2832
120 36 67 :2316
120 36 71 :2292
120 38 56 :2736
120 38 67 :2232
120 38 71 :2208
1 23 36 :2752
1 23 38 :2656
1 23 41 :2656
1 23 67 :2752
1 23 71 :2560
1 104 23 :2560
1 31 36 :3496
1 31 38 :2304
1 31 41 :3472
1 31 56 :2752
1 31 67 :2980
1 31 71 :2932
1 31 79 :2232
1 104 31 :2352
1 36 38 :2816
1 36 41 :3984
1 36 56 :2848
1 36 67 :3588
1 36 71 :3348
1 36 79 :3032
1 104 36 :2960
1 38 41 :2864
1 38 67 :2992
1 38 71 :2752
1 104 38 :2768
1 41 56 :2752
1 41 67 :3504
1 41 71 :3312
1 41 79 :2720
1 104 41 :2960
1 56 67 :2336
1 56 71 :2336
1 67 71 :3194
1 67 79 :2340
1 104 67 :2992
1 104 71 :2800
122 36 41 :2276
2 24 36 :3280
2 24 38 :3200
2 24 66 :2240
2 24 70 :2160
2 29 36 :2160
2 29 38 :2160
2 36 38 :3792
2 36 42 :2224
2 36 66 :2216
2 36 70 :2160
2 38 42 :2112
2 38 66 :2240
2 38 70 :2160
24 36 5 :2124
36 38 5 :2964
36 41 5 :2708
36 5 56 :2144
36 5 67 :2396
36 5 71 :2276
36 5 79 :2184
38 41 5 :2156
36 38 6 :2648
36 41 6 :2392
36 56 6 :2144
128 36 38 :2944
128 36 41 :2192
128 36 56 :2400
128 36 57 :2456
128 36 67 :2352
128 36 71 :2304
128 38 41 :2216
128 38 56 :2304
128 38 57 :2264
128 38 67 :2160
128 38 71 :2112
128 41 57 :2168
128 56 67 :2112
128 56 71 :2112
128 67 71 :2160
36 41 9 :2168
23 36 38 :3272
23 36 41 :3016
23 36 56 :2112
23 36 57 :2224
23 36 67 :3232
23 36 71 :3040
23 36 79 :2128
104 23 36 :3184
23 38 41 :3016
23 38 57 :2120
23 38 67 :3128
23 38 71 :2936
104 23 38 :3080
23 41 57 :2120
23 41 67 :2872
23 41 71 :2680
104 23 41 :2824
23 56 57 :2112
104 23 56 :2112
104 23 57 :2224
23 67 71 :2968
104 23 67 :3040
104 23 71 :2848
24 36 38 :3336
24 36 41 :2648
24 36 42 :2176
24 36 56 :2752
24 36 66 :2360
24 36 70 :2304
24 36 79 :2616
100 24 36 :2864
24 38 66 :2240
24 38 70 :2160
100 24 56 :2752
29 36 38 :2160
31 36 38 :2216
31 36 41 :3352
31 36 56 :2752
31 36 67 :2868
31 36 71 :2820
31 36 79 :2344
104 31 36 :2240
31 38 41 :2232
31 38 67 :2360
31 38 71 :2312
104 31 38 :2136
31 41 56 :2752
31 41 67 :2872
31 41 71 :2872
104 31 41 :2328
31 56 67 :2240
31 56 71 :2240
31 67 71 :2666
104 31 67 :2272
104 31 71 :2272
36 38 41 :4352
36 38 42 :2256
36 38 55 :2864
36 38 56 :3744
36 38 57 :3528
36 38 66 :2216
36 38 67 :4232
36 38 70 :2160
36 38 71 :3992
36 38 79 :3160
104 36 38 :3288
36 41 55 :2624
36 41 56 :3040
36 41 57 :3432
36 41 67 :3528
36 41 71 :3336
36 41 79 :3080
104 36 41 :3128
36 56 57 :2112
36 56 67 :3344
36 56 71 :3344
36 56 79 :2848
100 36 56 :2752
104 36 56 :2112
36 57 67 :2308
36 57 71 :2308
104 36 57 :2432
36 67 71 :4034
36 67 79 :3444
104 36 67 :3472
36 71 79 :3204
104 36 71 :3280
104 36 79 :2608
38 41 55 :2552
38 41 57 :3432
38 41 67 :3064
38 41 71 :2872
104 38 41 :3032
38 56 67 :2736
38 56 71 :2736
104 38 57 :2232
38 67 71 :3680
38 67 79 :2552
104 38 67 :3320
38 71 79 :2312
104 38 71 :3128
104 38 79 :2120
41 56 67 :2384
41 56 71 :2384
104 41 57 :2136
41 67 71 :3128
41 67 79 :2280
104 41 67 :3016
104 41 71 :2824
104 56 57 :2112
56 67 71 :2584
57 67 71 :2218
104 57 67 :2272
104 57 71 :2272
67 71 79 :2570
104 67 71 :3328
104 67 79 :2320
104 71 79 :2128
88 90 94 97 :4152
1 88 90 94 :2960
5 88 90 94 :2152
23 88 90 94 :2128
24 88 90 94 :2512
31 88 90 94 :2240
36 88 90 94 :4640
38 88 90 94 :3128
41 88 90 94 :3080
56 88 90 94 :2848
67 88 90 94 :3408
71 88 90 94 :3168
79 88 90 94 :3776
104 88 90 94 :2608
1 88 90 97 :2544
24 88 90 97 :2224
36 88 90 97 :4152
38 88 90 97 :2928
41 88 90 97 :2592
56 88 90 97 :2848
67 88 90 97 :3064
71 88 90 97 :2824
79 88 90 97 :3336
104 88 90 97 :2216
1 31 88 90 :2160
1 36 88 90 :2960
1 41 88 90 :2720
1 67 88 90 :2304
1 79 88 90 :2528
36 5 88 90 :2152
23 36 88 90 :2128
24 36 88 90 :2512
31 36 88 90 :2240
36 38 88 90 :3128
36 41 88 90 :3080
36 56 88 90 :2848
36 67 88 90 :3408
36 71 88 90 :3168
36 79 88 90 :3776
104 36 88 90 :2608
38 67 88 90 :2552
38 71 88 90 :2312
38 79 88 90 :2264
104 38 88 90 :2120
41 67 88 90 :2280
41 79 88 90 :2648
67 71 88 90 :2552
67 79 88 90 :2760
104 67 88 90 :2320
71 79 88 90 :2520
104 71 88 90 :2128
104 79 88 90 :2224
1 88 94 97 :2544
24 88 94 97 :2224
36 88 94 97 :4152
38 88 94 97 :2928
41 88 94 97 :2592
56 88 94 97 :2848
67 88 94 97 :3064
71 88 94 97 :2824
79 88 94 97 :3336
104 88 94 97 :2216
1 31 88 94 :2160
1 36 88 94 :2960
1 41 88 94 :2720
1 67 88 94 :2304
1 79 88 94 :2528
36 5 88 94 :2152
23 36 88 94 :2128
24 36 88 94 :2512
31 36 88 94 :2240
36 38 88 94 :3128
36 41 88 94 :3080
36 56 88 94 :2848
36 67 88 94 :3408
36 71 88 94 :3168
36 79 88 94 :3776
104 36 88 94 :2608
38 67 88 94 :2552
38 71 88 94 :2312
38 79 88 94 :2264
104 38 88 94 :2120
41 67 88 94 :2280
41 79 88 94 :2648
67 71 88 94 :2552
67 79 88 94 :2760
104 67 88 94 :2320
71 79 88 94 :2520
104 71 88 94 :2128
104 79 88 94 :2224
1 36 88 97 :2544
1 41 88 97 :2304
1 79 88 97 :2160
24 36 88 97 :2224
36 38 88 97 :2928
36 41 88 97 :2592
36 56 88 97 :2848
36 67 88 97 :3064
36 71 88 97 :2824
36 79 88 97 :3336
104 36 88 97 :2216
38 67 88 97 :2352
38 71 88 97 :2112
38 79 88 97 :2112
41 79 88 97 :2208
67 71 88 97 :2280
67 79 88 97 :2464
71 79 88 97 :2224
1 31 36 88 :2160
1 36 41 88 :2720
1 36 67 88 :2304
1 36 79 88 :2528
1 41 79 88 :2288
36 38 67 88 :2552
36 38 71 88 :2312
36 38 79 88 :2264
104 36 38 88 :2120
36 41 67 88 :2280
36 41 79 88 :2648
36 67 71 88 :2552
36 67 79 88 :2760
104 36 67 88 :2320
36 71 79 88 :2520
104 36 71 88 :2128
104 36 79 88 :2224
114 24 90 94 :2184
114 36 90 94 :2392
114 63 90 94 :2240
114 24 36 90 :2168
114 36 63 90 :2240
114 24 36 94 :2160
114 36 63 94 :2240
11 90 94 97 :3056
12 90 94 97 :2192
120 90 94 97 :3880
1 90 94 97 :3768
2 90 94 97 :3800
5 90 94 97 :3552
6 90 94 97 :3106
128 90 94 97 :3104
9 90 94 97 :2316
23 90 94 97 :3080
24 90 94 97 :4488
29 90 94 97 :2160
31 90 94 97 :3008
36 90 94 97 :7568
38 90 94 97 :6272
41 90 94 97 :5040
42 90 94 97 :2528
55 90 94 97 :2704
56 90 94 97 :4864
57 90 94 97 :3680
66 90 94 97 :2192
67 90 94 97 :4684
70 90 94 97 :2160
71 90 94 97 :4444
79 90 94 97 :4256
100 90 94 97 :2856
104 90 94 97 :3368
11 36 90 94 :3236
11 38 90 94 :3220
11 41 90 94 :2164
12 36 90 94 :2492
13 36 90 94 :2116
120 2 90 94 :2848
120 24 90 94 :2648
120 36 90 94 :3968
120 38 90 94 :3752
120 42 90 94 :2224
120 56 90 94 :2832
120 67 90 94 :2316
120 71 90 94 :2292
1 23 90 94 :2752
1 31 90 94 :3496
1 36 90 94 :4296
1 38 90 94 :2816
1 41 90 94 :3984
1 56 90 94 :2848
1 67 90 94 :3588
1 71 90 94 :3348
1 79 90 94 :3032
1 104 90 94 :2960
122 36 90 94 :2404
122 41 90 94 :2276
2 24 90 94 :3296
2 29 90 94 :2160
2 36 90 94 :3896
2 38 90 94 :3816
2 42 90 94 :2216
2 66 90 94 :2240
2 70 90 94 :2160
24 5 90 94 :2132
36 5 90 94 :3740
38 5 90 94 :2972
41 5 90 94 :2716
5 56 90 94 :2144
5 67 90 94 :2396
5 71 90 94 :2276
5 79 90 94 :2184
36 6 90 94 :3234
38 6 90 94 :2656
41 6 90 94 :2400
56 6 90 94 :2144
128 36 90 94 :3136
128 38 90 94 :2968
128 41 90 94 :2216
128 56 90 94 :2400
128 57 90 94 :2456
128 67 90 94 :2352
128 71 90 94 :2304
36 9 90 94 :2460
41 9 90 94 :2168
23 36 90 94 :3376
23 38 90 94 :3272
23 41 90 94 :3016
23 56 90 94 :2112
23 57 90 94 :2224
23 67 90 94 :3232
23 71 90 94 :3040
23 79 90 94 :2128
104 23 90 94 :3184
24 36 90 94 :4816
24 38 90 94 :3360
24 41 90 94 :2672
24 42 90 94 :2168
24 56 90 94 :2752
24 66 90 94 :2384
24 70 90 94 :2304
24 79 90 94 :2616
100 24 90 94 :2856
29 36 90 94 :2160
29 38 90 94 :2160
31 36 90 94 :3608
31 38 90 94 :2216
31 41 90 94 :3352
31 56 90 94 :2752
31 67 90 94 :2868
31 71 90 94 :2820
31 79 90 94 :2344
104 31 90 94 :2240
36 38 90 94 :6608
36 41 90 94 :5664
36 42 90 94 :2528
36 55 90 94 :3328
36 56 90 94 :4864
36 57 90 94 :3800
36 63 90 94 :2288
36 66 90 94 :2360
36 67 90 94 :5124
36 70 90 94 :2304
36 71 90 94 :4884
36 79 90 94 :4744
100 36 90 94 :3048
104 36 90 94 :3776
38 41 90 94 :4376
38 42 90 94 :2256
38 55 90 94 :2888
38 56 90 94 :3744
38 57 90 94 :3528
38 66 90 94 :2240
38 67 90 94 :4232
38 70 90 94 :2160
38 71 90 94 :3992
38 79 90 94 :3160
104 38 90 94 :3288
41 55 90 94 :2648
41 56 90 94 :3040
41 57 90 94 :3432
41 67 90 94 :3528
41 71 90 94 :3336
41 79 90 94 :3080
104 41 90 94 :3128
56 57 90 94 :2112
56 67 90 94 :3344
56 71 90 94 :3344
56 79 90 94 :2848
100 56 90 94 :2752
104 56 90 94 :2112
57 67 90 94 :2308
57 71 90 94 :2308
104 57 90 94 :2432
67 71 90 94 :4034
67 79 90 94 :3444
104 67 90 94 :3472
71 79 90 94 :3204
104 71 90 94 :3280
104 79 90 94 :2608
11 36 90 97 :3064
11 38 90 97 :3016
12 36 90 97 :2192
120 2 90 97 :2776
120 24 90 97 :2744
120 36 90 97 :3880
120 38 90 97 :3760
120 42 90 97 :2224
120 56 90 97 :2832
120 67 90 97 :2324
120 71 90 97 :2300
1 23 90 97 :2528
1 31 90 97 :3160
1 36 90 97 :3768
1 38 90 97 :2768
1 41 90 97 :3648
1 56 90 97 :2848
1 67 90 97 :3412
1 71 90 97 :3172
1 79 90 97 :2616
1 104 90 97 :2816
2 24 90 97 :3256
2 29 90 97 :2160
2 36 90 97 :3808
2 38 90 97 :3696
2 42 90 97 :2224
2 66 90 97 :2192
2 70 90 97 :2160
36 5 90 97 :3552
38 5 90 97 :2920
41 5 90 97 :2568
5 56 90 97 :2144
5 67 90 97 :2316
5 71 90 97 :2196
36 6 90 97 :3108
38 6 90 97 :2568
41 6 90 97 :2312
56 6 90 97 :2144
128 36 90 97 :3104
128 38 90 97 :2912
128 41 90 97 :2160
128 56 90 97 :2400
128 57 90 97 :2448
128 67 90 97 :2352
128 71 90 97 :2304
36 9 90 97 :2316
23 36 90 97 :3080
23 38 90 97 :2976
23 41 90 97 :2720
23 56 90 97 :2112
23 57 90 97 :2120
23 67 90 97 :2936
23 71 90 97 :2744
104 23 90 97 :3080
24 36 90 97 :4496
24 38 90 97 :3488
24 41 90 97 :2512
24 42 90 97 :2176
24 56 90 97 :2752
